Company,Symbol,Volatility_Threshold_Train_Median
Adani Enterprises (Futures),ADELc1_NS,0.026038535041263116
Apollo Hospitals,APLH,0.0175645231241075
Adani Ports & SEZ (Futures),APSEc1_NS,0.01966648735536916
Asian Paints,ASPN,0.013576861865821556
Axis Bank,AXBK,0.016349900111009875
Bajaj Auto (Futures),BAJAc1_NS,0.014101253217448985
Bajaj Finserv,BAJE,0.020030104032756693
Bajaj Finance,BJFN,0.01865263334615299
Bajaj Finserv (Alt code),BJFS,0.01774471758346883
Bharti Airtel,BRTI,0.01698958574439078
Cipla,CIPL,0.014736975711497284
Coal India,COAL,0.01688661940913817
Eicher Motors,EICH,0.017691710661758103
Eternal (formerly Zomato),ETEA,0.02671048153978646
Grasim Industries,GRAS,0.015200511400698193
Hindalco Industries,HALC,0.021574474115010185
HCL Technologies,HCLT,0.014537477465991488
HDFC Bank (Futures),HDBKc1_NS,0.010819530182907263
HDFC Life Insurance (Futures),HDFLc1_NS,0.014762172306446282
Hindustan Unilever,HLL,0.012131272936688304
ICICI Bank,ICBK,0.015722011131679772
Infosys,INFY,0.013960750647403403
"UNVERIFIED - Indian Oil Corp (alt code, unconfirmed)",INGL,0.01977200471577338
ITC Limited,ITC,0.013751789671887948
Jio Financial Services,JIOF,0.01922475688335089
JSW Steel,JSTL,0.019217910265998076
Kotak Mahindra Bank (Futures),KTKMc1_NS,0.013429117392777648
Larsen & Toubro,LART,0.014217820285213345
Mahindra & Mahindra,MAHM,0.016313389130296032
UNVERIFIED - unconfirmed underlying,MAXE,0.022630885795254546
Maruti Suzuki,MRTI,0.014354910016413355
Nestle India,NEST,0.01263234198997251
NTPC (Futures),NTPCc1_NS,0.014656248668048655
Oil & Natural Gas Corporation,ONGC,0.017112929958490862
Power Grid Corporation (Futures),PGRDc1_NS,0.01348793105469107
Dr. Reddy's Laboratories,REDY,0.014079823434488468
Reliance Industries,RELI,0.01449947074300636
State Bank of India (Futures),SBIc1_NS,0.01727678735272787
Shriram Finance,SHMF,0.02175460807407156
Sun Pharmaceutical Industries,SUN,0.01596594002930688
Tata Consumer Products,TACN,0.01681882546240528
Tata Motors,TAMO,0.021321569435880344
Tata Motors (Futures),TAMOc1_NS,0.021359284492323077
Tata Consultancy Services (Futures),TCSc1_NS,0.012827055169250971
Tech Mahindra,TEML,0.01684432562429962
Tata Steel,TISC,0.020432150695290575
Titan Company,TITN,0.016363768183039817
Trent Limited,TREN,0.01890172093321435
UltraTech Cement,ULTC,0.014822757518576861
Wipro,WIPR,0.013259846353995129
