Company,Symbol,Rows,Warmup_Rows_NaN,RSI_In_Bounds,Leakage_Spot_Check_Passed
Adani Enterprises (Futures),ADELc1_NS,2868,19,True,True
Apollo Hospitals,APLH,2868,19,True,True
Adani Ports & SEZ (Futures),APSEc1_NS,2868,19,True,True
Asian Paints,ASPN,2869,19,True,True
Axis Bank,AXBK,2868,19,True,True
Bajaj Auto (Futures),BAJAc1_NS,2868,19,True,True
Bajaj Finserv,BAJE,2869,19,True,True
Bajaj Finance,BJFN,2869,19,True,True
Bajaj Finserv (Alt code),BJFS,2869,19,True,True
Bharti Airtel,BRTI,2868,19,True,True
Cipla,CIPL,2868,19,True,True
Coal India,COAL,2868,19,True,True
Eicher Motors,EICH,2868,19,True,True
Eternal (formerly Zomato),ETEA,1245,19,True,True
Grasim Industries,GRAS,2868,19,True,True
Hindalco Industries,HALC,2868,19,True,True
HCL Technologies,HCLT,2868,19,True,True
HDFC Bank (Futures),HDBKc1_NS,2868,19,True,True
HDFC Life Insurance (Futures),HDFLc1_NS,1591,19,True,True
Hindustan Unilever,HLL,2868,19,True,True
ICICI Bank,ICBK,2868,19,True,True
Infosys,INFY,2868,19,True,True
"UNVERIFIED - Indian Oil Corp (alt code, unconfirmed)",INGL,2654,19,True,True
ITC Limited,ITC,2869,19,True,True
Jio Financial Services,JIOF,730,19,True,True
JSW Steel,JSTL,2868,19,True,True
Kotak Mahindra Bank (Futures),KTKMc1_NS,2868,19,True,True
Larsen & Toubro,LART,2868,19,True,True
Mahindra & Mahindra,MAHM,2868,19,True,True
UNVERIFIED - unconfirmed underlying,MAXE,1473,19,True,True
Maruti Suzuki,MRTI,2868,19,True,True
Nestle India,NEST,2869,19,True,True
NTPC (Futures),NTPCc1_NS,2868,19,True,True
Oil & Natural Gas Corporation,ONGC,2868,19,True,True
Power Grid Corporation (Futures),PGRDc1_NS,2868,19,True,True
Dr. Reddy's Laboratories,REDY,2869,19,True,True
Reliance Industries,RELI,2869,19,True,True
State Bank of India (Futures),SBIc1_NS,2868,19,True,True
Shriram Finance,SHMF,2869,19,True,True
Sun Pharmaceutical Industries,SUN,2868,19,True,True
Tata Consumer Products,TACN,2868,19,True,True
Tata Motors,TAMO,2869,19,True,True
Tata Motors (Futures),TAMOc1_NS,2868,19,True,True
Tata Consultancy Services (Futures),TCSc1_NS,2868,19,True,True
Tech Mahindra,TEML,2868,19,True,True
Tata Steel,TISC,2869,19,True,True
Titan Company,TITN,2868,19,True,True
Trent Limited,TREN,2869,19,True,True
UltraTech Cement,ULTC,2868,19,True,True
Wipro,WIPR,2869,19,True,True
