Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
HCLT,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00017301957554044248,BUY
HCLT,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00018636787486341324,BUY
HCLT,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00010884437295474015,BUY
HCLT,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00011687307506078942,HOLD
HCLT,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.00017025435320931347,BUY
HCLT,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.00018114492205532478,BUY
HCLT,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00011244008138338786,BUY
HCLT,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00012166974484765318,HOLD
HCLT,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.00018204590102706704,BUY
HCLT,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.00020285146518514384,BUY
HCLT,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.0001410471043774019,BUY
HCLT,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00015295946945466816,BUY
HCLT,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00013845035389159496,HOLD
HCLT,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00013736577766224357,HOLD
HCLT,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00011075637599930287,BUY
HCLT,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00011762872690859967,HOLD
HCLT,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
